scorer,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi,adhi
labeled-data\cam2\img350.png,284.48981191222583,329.7463054187192,284.48981191222583,329.7463054187192,255.82881773399026,360.19861173309454,228.9591356918944,462.3034034930587,279.1158755038067,551.8690103000448,280.9071876399464,569.782131661442,246.8722570532916,573.3647559337214
labeled-data\cam2\img359.png,280.3106919294089,309.25571612475727,280.3106919294089,309.25571612475727,262.62218650984744,341.2634878363448,284.52224083882834,445.7099007899462,330.8492788424418,539.2062865790571,338.4300668793968,552.6832430891992,310.6338440772287,568.6871289449929
labeled-data\cam2\img368.png,281.04146251517585,309.66457061888445,281.04146251517585,309.66457061888445,262.020414107343,341.65451566842154,277.5830900773881,443.6765025831613,377.01129766378705,490.3645304932965,390.8447874149382,493.8229029310843,387.3864149771504,527.5420341995152
labeled-data\cam2\img382.png,289.0610917201596,325.4735219251565,289.0610917201596,325.4735219251565,258.84489954464254,358.71133331822523,209.49178565796473,449.3599098447763,308.1980134313204,491.6625788905002,322.29890311322833,497.7058173256036,311.2196326488721,531.9508351245229
labeled-data\cam2\img386.png,287.39812040911943,316.6511960096978,287.39812040911943,316.6511960096978,255.20316874600215,345.10254864222003,205.78766154214773,437.9438046009768,285.1519609907624,512.0670654067585,296.3827580825475,521.0517030801865,276.1673233173343,549.5030557127087
labeled-data\cam2\img390.png,284.917163796563,307.76567457727026,284.917163796563,307.76567457727026,252.93613207805117,335.64657402417805,209.4747299990479,433.2297220883552,258.6763172582969,530.8128701525324,265.2365288928634,547.2133992389487,235.715576537314,561.9738754167233
labeled-data\cam2\img395.png,282.18353653276927,304.1592517111534,282.18353653276927,304.1592517111534,252.6625841772199,333.6802040667028,219.86152600438726,440.2836431284089,213.30131436982072,546.887082190115,210.02120855253747,566.5677170938147,177.22015037970482,562.4675848222106
labeled-data\cam2\img399.png,281.84460934886766,312.2674415448711,281.84460934886766,312.2674415448711,253.22390342686612,342.39450041013583,220.8373151467065,447.83920643856254,214.81190337365354,554.0370889386209,213.30555043039033,571.3601477861481,178.65943273533583,567.5942654279901
labeled-data\cam2\img402.png,286.3248461653771,325.7072294646379,286.3248461653771,325.7072294646379,257.2673870231394,352.5853791712077,216.58694422400674,452.8336132119275,236.9271656235731,552.3554107740914,238.38003858068498,569.789886259434,204.23752408855574,570.5163227379899
labeled-data\cam2\img422.png,282.6852902195067,307.29968563127136,282.6852902195067,307.29968563127136,266.10649451258587,340.4572770451131,293.4615074290053,439.9300512866382,362.2635096127268,521.9950900358965,378.84230531964766,532.7713072453951,356.4609311153045,558.4684405911223
labeled-data\cam2\img424.png,282.50908926346733,307.8300288272724,282.50908926346733,307.8300288272724,265.1949437469653,340.80935362060956,290.7539204618016,439.7473280006211,369.9042999658109,514.7752919054632,388.86741172197975,519.7221906244638,374.85119868481144,550.2280660583007
labeled-data\cam2\img428.png,281.62313758455116,312.64607984682266,281.62313758455116,312.64607984682266,261.1670428816568,345.98193788116885,283.13840385883964,446.74714512135176,378.6001791390129,498.2661984471596,395.26810815618603,502.0543641328808,387.69177678474364,533.8749558929385
labeled-data\cam2\img443.png,289.4695629410527,329.00569674383325,289.4695629410527,329.00569674383325,256.4634981546398,363.4468078253075,210.54201671267413,453.85472441417755,307.40764162932055,496.9061132660204,324.62819717005766,501.2112521512047,312.43030366203556,534.2173169376175
labeled-data\cam2\img452.png,279.4290877277003,301.30547051680674,279.4290877277003,301.30547051680674,251.08469506748077,331.5394893543742,216.12661078654332,437.35855528586046,209.51291916582545,546.0120604833687,205.73366681112952,563.0186960795004,170.77558253019208,561.1290699021524
labeled-data\cam2\img462.png,286.66254999459534,327.3725962333911,286.66254999459534,327.3725962333911,256.6602777636837,352.9627696068157,215.18654850330591,450.0289444715298,233.71736370475134,554.154477508223,234.59978347624872,570.9204531666736,200.18541238785014,570.0380333951762
labeled-data\cam2\img504.png,294.166302339832,320.2814174696519,294.166302339832,320.2814174696519,260.05498450629113,349.633016535722,211.6645103703377,440.06767311766765,290.9931564948515,511.46345462973005,302.89245341352853,522.569465087162,282.267005421155,549.5412047694966
labeled-data\cam2\img508.png,289.6057942924422,304.6802359095779,289.6057942924422,304.6802359095779,259.6035220615306,333.77334837591644,217.78217289116895,432.87176271438204,237.78368771177668,539.2434551694323,240.5111670054959,556.5174906963208,206.872255716292,561.9724492837593
labeled-data\cam2\img509.png,290.14435780798124,306.06215875172893,290.14435780798124,306.06215875172893,257.4948262625774,334.2995914396457,220.43319585968658,434.013025618852,237.19917151813723,539.90339819854,240.72885060412682,556.6693738569907,209.84415860171782,564.6111518004673
labeled-data\cam2\img522.png,291.2616037420037,328.2912932621613,291.2616037420037,328.2912932621613,264.28986405966896,354.4697464832508,222.24568161367665,452.04398121640276,246.83756191227593,548.0316430270644,249.21742129601137,566.2772316357026,215.89938992371555,568.657091019438
labeled-data\cam2\img528.png,294.5538094061537,330.92874791252575,294.5538094061537,330.92874791252575,270.7284755757239,359.16618060044254,244.25588243080188,458.8796147796488,290.1417105486667,548.0040117008862,290.1417105486667,566.5348269023316,260.1394383177551,566.5348269023316
labeled-data\cam2\img530.png,293.100076312598,324.7020731249231,293.100076312598,324.7020731249231,274.28849118385796,354.26313547008607,264.4348037354703,459.0705383302091,315.49482051347894,545.0663560615922,317.28640004954946,562.0863616542617,285.93375816831605,567.4611002624731
labeled-data\cam2\img531.png,297.24979790136086,324.6870987288007,297.24979790136086,324.6870987288007,273.7186039947635,355.27765080737726,266.65924582278427,458.0305308661857,316.07475302663875,545.0959483205959,319.9966186777383,559.9990377947742,288.6216934689418,567.8427690969733
labeled-data\cam2\img562.png,289.11429539304936,320.3804445773422,289.11429539304936,320.3804445773422,259.69584634429003,351.2339399211629,212.3393186072629,443.07690280509433,291.2668648356415,510.5240786729815,305.61732778625577,521.2869258859422,283.3741102128036,548.5528054921093
labeled-data\cam2\img570.png,287.4851635432463,306.4097786617129,287.4851635432463,306.4097786617129,256.44448824789583,333.9029482090233,220.08255433048527,435.8937384651748,217.42192501945522,542.3189109063765,217.42192501945522,562.7170689576068,187.26812616111476,562.7170689576068
labeled-data\cam2\img574.png,282.82558827817655,309.5597498460278,282.82558827817655,309.5597498460278,257.1551949255249,342.4499413291127,222.66060385789928,443.52711515517854,205.0122084279513,548.6152879425962,202.60560905114016,565.4614835802738,171.319817152596,559.8460850343813
labeled-data\cam2\img576.png,285.03002885066996,312.8333489316625,285.03002885066996,312.8333489316625,255.8299564120287,345.2778738634861,221.76320523361392,442.61144865895693,212.84096087736248,551.300607180566,209.59650838418008,569.145095893069,179.58532282224326,562.6561909067043
labeled-data\cam2\img577.png,285.39399358142134,314.35173487181,285.39399358142134,314.35173487181,259.9910001595265,343.1417940832908,222.73327647408067,444.75376777087024,211.72531265792625,551.4463401428286,210.03177976313324,566.6881361959655,179.54818765685943,564.147836853776
labeled-data\cam2\img581.png,285.50832042181645,322.1006283319007,285.50832042181645,322.1006283319007,259.6240071245594,354.259926670917,215.69911183224434,449.95344855774624,233.7396938273023,550.3532092258948,236.87718634818197,569.1781643511728,201.58039548828594,569.1781643511728
labeled-data\cam2\img583.png,285.71479105001754,325.5962584933738,285.71479105001754,325.5962584933738,261.5284673130661,353.36574130246623,218.53055844737457,451.9026157863426,235.55056404004415,552.2310698062895,234.65477427200886,566.5637060948533,202.40634262274028,570.1468651669943
labeled-data\cam2\img585.png,285.8966675695873,325.8859417516939,285.8966675695873,325.8859417516939,259.2903744592869,352.4922348619943,216.72030548280622,451.8223958071158,235.34471066001652,552.0394331892473,234.4578342230065,568.0032090554275,201.643406053636,567.1163326184176
labeled-data\cam2\img603.png,281.45344113182745,299.94288960298024,281.45344113182745,299.94288960298024,267.4773380842726,333.8848541470419,294.43125110455685,433.71416162957604,362.31518019268015,515.5741937652541,378.2878693898856,521.5639522142062,363.3134732675055,552.5110375337918
labeled-data\cam2\img605.png,280.8009986707773,302.80237532918323,280.8009986707773,302.80237532918323,266.4906457097765,336.6953165526061,292.85182221688325,436.11461080797983,373.44170468146655,504.6536697264572,389.2584105857306,511.4322579711418,377.2075870396246,544.5720227229331
labeled-data\cam2\img616.png,284.77295501390597,333.2463922457051,284.77295501390597,333.2463922457051,256.16561908844227,369.44342953914895,228.72592952728323,465.7742545942818,334.9817486790055,472.7801327801096,354.2479136900321,470.44484005150036,354.83173687218436,507.22570052709654
labeled-data\cam2\img618.png,283.1177115608645,336.12664603319666,284.5438445249007,336.12664603319666,256.73425172619477,368.9277042060293,227.4985259634526,466.61781224250916,331.60623233809537,472.32234409865396,350.145960870566,473.7484770626902,348.7198279065298,508.68873468157716
